Country,ISO,Capitol,,,,,,
Afghanistan,AFG,Kabul,,,,,,
Albania,ALB,Tirana,,,,,,
Antarctica,ATA,na,,,,,,
Argentina,ARG,Buenos Aires,,,,,,
Armenia,ARM,Yerevan,,,,,,
Austria,AUT,Vienna,,,,,,
Azerbaijan,AZE,Baku,,,,,,
Bhutan,BTN,Thimphu,,,,,,
Bolivia,BOL,Sucre,,,,,,
Canada,CAN,Ottawa,,,,,,
Chile,CHL,Santiago,,,,,,
China,CHN,Beijing,,,,,,
Colombia,COL,Bogota,,,,,,
Democratic Republic of Congo,COD,Kinshasa,,,,,,
Ecuador,ECU,Quito,,,,,,
France,FRA,Paris,,,,,,
Georgia,GEO,Tbilisi,,,,,,
Germany,DEU,Berlin,,,,,,
Greenland,GRL,na,,,,,,
Iceland,ISL,Reykjaík,,,,,,
India,IND,New Delhi,,,,,,
Indonesia,IDN,Jakarta,,,,,,
Iran,IRN,Tehran,,,,,,
Italy,ITA,Rome,,,,,,
Kazakhstan,KAZ,Astana,,,,,,
Kenya,KEN,Nairobi,,,,,,
Kyrgyzstan,KGZ,Bishkek,,,,,,
Mexico,MEX,Mexico City,,,,,,
Mongolia,MNG,Ulaanbaatar,,,,,,
Montenegro,MNE,Podgorica,,,,,,
Myanmar,MMR,Naypyidaw,,,,,,
Nepal,NPL,Kathmandu,,,,,,
New Zealand,NZL,Wellington,,,,,,
Norway,NOR,Oslo,,,,,,
Pakistan,PAK,Islamabad,,,,,,
Peru,PER,Lima,,,,,,
Russia,RUS,Moscow,,,,,,
Slovenia,SVN,Ljubljana,,,,,,
Spain,ESP,Madrid,,,,,,
Sweden,SWE,Stockholm,,,,,,
Switzerland,CHE,Bern,,,,,,
Tajikistan,TJK,Dushanbe,,,,,,
Tanzania,TZA,Dodoma,,,,,,
Turkey,TUR,Ankara,,,,,,
Uganda,UGA,Kampala,,,,,,
United States,USA,Washington D.C.,,,,,,
Uzbekistan,UZB,Tashkent,,,,,,
Venezuela,VEN,Caracas,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
